,Company Name,Listed Date,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss,Year,Is_Successful
333,RBM Infracon Limited,2023-01-04,36,55.1,0.005306,,0.126389,2023,1
334,Homesfy Realty Limited,2023-01-02,197,287.95,0.004617,,0.005355,2023,0
335,Moxsh Overseas Educon Limited,2022-12-30,153,127.85,-0.001644,,-0.008235,2022,0
336,Arihant Academy Limited,2022-12-29,90,126.1,0.004011,,0.020372,2022,0
337,Uma Converter Limited,2022-12-29,33,33.15,4.5e-05,,-0.001818,2022,0
338,Dollex Agrotech Limited,2022-12-28,35,31.5,-0.001,,0.000371,2022,0
339,Droneacharya Aerial Innovations Limited,2022-12-23,54,107.1,0.009833,92.16,0.007067,2022,0
340,All E Technologies Limited,2022-12-21,90,131.25,0.004583,,0.032944,2022,0
341,PNGS Gargi Fashion Jewellery Limited,2022-12-20,30,59.85,0.00995,888.2,0.286067,2022,1
342,Arham Technologies Limited,2022-12-15,42,63.0,0.005,,0.012167,2022,0
343,Pritika Engineering Components Limited,2022-12-08,29,44.3,0.005275999999999999,,0.041724,2022,0
344,Baheti Recycling Industries Limited,2022-12-08,45,114.0,0.015333,,0.116689,2022,1
345,AMBO Agritec Ltd,2022-12-02,30,42.1,0.004033,80.7,0.0169,2022,0
346,Technopack Polymers Limited,2022-11-16,55,77.7,0.004127,23.99,-0.005638,2022,0
347,Amiable Logistics (India) Limited,2022-11-16,81,136.4,0.006840000000000001,,-0.001025,2022,0
348,Vital Chemtech Limited,2022-11-14,101,163.1,0.006149,,-0.003272,2022,0
349,DAPS Advertising Limited,2022-11-14,30,55.1,0.008367,22.98,-0.00234,2022,0
350,Integrated Personnel Services Limited,2022-11-11,59,69.8,0.001831,,0.035627,2022,0
351,Rite Zone Chemcon India Ltd,2022-11-11,75,86.95,0.001593,,-0.007059999999999999,2022,0
352,Phantom Digital Effects Limited,2022-10-21,95,312.7,0.022916,,0.016842,2022,0
353,Pace E-Commerce Ventures Limited,2022-10-20,103,109.7,0.00065,25.1,-0.007562999999999999,2022,0
354,Maagh Advertising And Marketing Services Ltd,2022-10-13,60,65.4,0.0009,25.42,-0.005763000000000001,2022,0
355,Frog Cellsat Limited,2022-10-13,102,185.8,0.008216,,0.013275,2022,0
356,Vedant Asset Limited,2022-10-12,40,68.25,0.007062000000000001,54.88,0.00372,2022,0
357,Swastik Pipe Limited,2022-10-12,100,69.3,-0.00307,,-0.006475,2022,0
358,QMS Medical Allied Services Ltd,2022-10-11,121,134.4,0.001107,,-0.002971,2022,0
359,Lloyds Luxuries Limited,2022-10-11,40,42.9,0.000725,,0.014438,2022,0
360,Insolation Energy Limited,2022-10-10,38,79.9,0.011026,264.9,0.059711,2022,0
361,Cyber Media Research & Services Ltd,2022-10-10,180,257.5,0.004306,,-0.004836,2022,0
362,Concord Control Systems Limited,2022-10-10,55,115.4,0.010982,1802.0,0.317636,2022,1
363,Silicon Rental Solutions Limited,2022-10-10,78,84.0,0.0007689999999999999,174.5,0.012372,2022,0
364,Cargosol Logistics Limited,2022-10-10,28,44.5,0.005893000000000001,15.09,-0.004611000000000001,2022,0
365,Cargotrans Maritime Limited,2022-10-10,45,73.5,0.006333,88.5,0.009667,2022,0
366,Reetech International Cargo and Courier Ltd,2022-10-10,105,83.6,-0.002038,43.22,-0.005884,2022,0
367,Steelman Telecom Limited,2022-10-10,96,169.05,0.007609,148.25,0.005443,2022,0
368,Trident Lifeline Limited,2022-10-10,101,108.15,0.000708,269.95,0.016728,2022,0
369,Mafia Trends Limited,2022-10-06,28,31.1,0.001107,14.2,-0.004929,2022,0
370,Containe Technologies Ltd,2022-09-30,15,23.1,0.0054,44.17,0.019447,2022,0
371,Maks Energy Solutions India Ltd,2022-09-28,20,21.0,0.0005,,0.0049,2022,0
372,Kandarp Digi Smart BPO Ltd,2022-09-28,30,28.5,-0.0005,,0.02055,2022,0
373,Annapurna Swadisht Limited,2022-09-27,70,126.0,0.008,,0.030257,2022,0
374,Varanium Cloud Limited,2022-09-27,122,128.55,0.0005369999999999999,,-0.007344000000000001,2022,0
